Dte,Barris,Total,UnaPlanta,DuesPlantes,TresPlantes,QuatrePlantes,CincPlantes,SisPlantes,SetPlantes,VuitPlantes,NouPlantes,DeuPlantesIMes
7,"37. el Carmel",1.791,366,291,174,210,483,255,..,..,..,..
7,"38. la Teixonera",759,136,135,119,103,168,79,11,..,..,..
7,"39. Sant Genís dels Agudells",333,93,104,36,31,17,21,..,..,..,12
7,"40. Montbau",274,95,22,27,26,62,23,..,..,..,15
7,"41. la Vall d'Hebron",93,..,..,..,..,..,..,..,..,27,36
7,"42. la Clota",140,53,74,..,..,..,..,..,..,..,..
7,"43. Horta",2.106,387,664,243,348,281,87,65,26,..,..
8,"44. Vilapicina i la Torre Llobeta",1.086,121,182,92,123,230,115,117,66,24,16
8,"45. Porta",817,46,73,62,64,170,215,85,66,18,18
8,"46. el Turó de la Peira",363,11,20,24,28,12,94,88,46,..,31
8,"47. Can Peguera",674,631,15,..,..,..,..,10,..,..,..
8,"48. la Guineueta",293,..,..,..,125,18,11,14,..,61,57
8,"49. Canyelles",79,..,..,..,..,..,..,..,13,..,52
8,"50. les Roquetes",926,161,114,111,223,247,65,..,..,..,..
8,"51. Verdun",601,25,54,56,122,188,112,21,18,..,..
8,"52. la Prosperitat",1.159,58,109,148,112,313,232,93,65,23,..
8,"53. la Trinitat Nova",214,..,..,..,105,35,35,18,12,..,..
8,"54. Torre Baró",488,270,154,52,10,..,..,..,..,..,..
8,"55. Ciutat Meridiana",253,..,..,..,..,..,214,..,..,23,..
8,"56. Vallbona",159,100,24,15,12,..,..,..,..,..,..
9,"57. la Trinitat Vella",619,73,90,98,94,181,78,..,..,..,..
9,"58. Baró de Viver",66,..,..,..,18,..,18,17,..,..,..
9,"59. el Bon Pastor",1.091,707,62,43,47,119,54,37,13,..,..
9,"60. Sant Andreu",3.242,158,1.282,570,189,314,148,141,179,127,134
9,"61. la Sagrera",705,39,101,86,42,69,65,32,58,79,134
9,"62. el Congrés i els Indians",695,68,58,64,128,232,64,45,29,..,..
9,"63. Navas",699,23,191,51,37,54,56,46,89,61,91
10,"64. el Camp de l'Arpa del Clot",1.854,207,306,220,200,245,163,112,135,141,125
10,"65. el Clot",801,41,113,65,83,113,113,68,30,69,106
10,"66. el Parc i la Llacuna del Poblenou",350,14,25,19,32,31,59,47,17,56,50
10,"67. la Vila Olímpica del Poblenou",446,..,127,31,16,69,81,106,..,..,..
10,"68. el Poblenou",1.497,125,265,180,220,220,229,122,49,64,23
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,..,58,11,..,10,51,47,43,..,56
10,"70. el Besòs i el Maresme",918,141,442,11,10,..,150,..,56,29,70
10,"71. Provençals del Poblenou",449,61,83,39,11,19,44,19,33,30,110
10,"72. Sant Martí de Provençals",472,21,..,..,..,18,22,62,93,94,154
10,"73. la Verneda i la Pau",430,..,..,..,..,64,..,..,29,158,173
